"ticker","year","ar_downloaded","ar_pdf_path","ar_txt_path","k1_ai_core","k2_digital_tech","k3_digital_transformation","aid_binary","total_words","ai_keyword_hits","aid_frequency","coder","review_date","notes"
"MTDL","2019","0",".\data\annual_reports\MTDL_2019_AR.pdf",".\output\annual_reports_txt\MTDL_2019_AR.txt","","","","","","","","","",""
"MTDL","2020","0",".\data\annual_reports\MTDL_2020_AR.pdf",".\output\annual_reports_txt\MTDL_2020_AR.txt","","","","","","","","","",""
"MTDL","2021","0",".\data\annual_reports\MTDL_2021_AR.pdf",".\output\annual_reports_txt\MTDL_2021_AR.txt","","","","","","","","","",""
"MTDL","2022","0",".\data\annual_reports\MTDL_2022_AR.pdf",".\output\annual_reports_txt\MTDL_2022_AR.txt","","","","","","","","","",""
"MTDL","2023","0",".\data\annual_reports\MTDL_2023_AR.pdf",".\output\annual_reports_txt\MTDL_2023_AR.txt","","","","","","","","","",""
"MTDL","2024","0",".\data\annual_reports\MTDL_2024_AR.pdf",".\output\annual_reports_txt\MTDL_2024_AR.txt","","","","","","","","","",""
"MTDL","2025","0",".\data\annual_reports\MTDL_2025_AR.pdf",".\output\annual_reports_txt\MTDL_2025_AR.txt","","","","","","","","","",""
"LMAS","2019","0",".\data\annual_reports\LMAS_2019_AR.pdf",".\output\annual_reports_txt\LMAS_2019_AR.txt","","","","","","","","","",""
"LMAS","2020","0",".\data\annual_reports\LMAS_2020_AR.pdf",".\output\annual_reports_txt\LMAS_2020_AR.txt","","","","","","","","","",""
"LMAS","2021","0",".\data\annual_reports\LMAS_2021_AR.pdf",".\output\annual_reports_txt\LMAS_2021_AR.txt","","","","","","","","","",""
"LMAS","2022","0",".\data\annual_reports\LMAS_2022_AR.pdf",".\output\annual_reports_txt\LMAS_2022_AR.txt","","","","","","","","","",""
"LMAS","2023","0",".\data\annual_reports\LMAS_2023_AR.pdf",".\output\annual_reports_txt\LMAS_2023_AR.txt","","","","","","","","","",""
"LMAS","2024","0",".\data\annual_reports\LMAS_2024_AR.pdf",".\output\annual_reports_txt\LMAS_2024_AR.txt","","","","","","","","","",""
"LMAS","2025","0",".\data\annual_reports\LMAS_2025_AR.pdf",".\output\annual_reports_txt\LMAS_2025_AR.txt","","","","","","","","","",""
"PTSN","2019","0",".\data\annual_reports\PTSN_2019_AR.pdf",".\output\annual_reports_txt\PTSN_2019_AR.txt","","","","","","","","","",""
"PTSN","2020","0",".\data\annual_reports\PTSN_2020_AR.pdf",".\output\annual_reports_txt\PTSN_2020_AR.txt","","","","","","","","","",""
"PTSN","2021","0",".\data\annual_reports\PTSN_2021_AR.pdf",".\output\annual_reports_txt\PTSN_2021_AR.txt","","","","","","","","","",""
"PTSN","2022","0",".\data\annual_reports\PTSN_2022_AR.pdf",".\output\annual_reports_txt\PTSN_2022_AR.txt","","","","","","","","","",""
"PTSN","2023","0",".\data\annual_reports\PTSN_2023_AR.pdf",".\output\annual_reports_txt\PTSN_2023_AR.txt","","","","","","","","","",""
"PTSN","2024","0",".\data\annual_reports\PTSN_2024_AR.pdf",".\output\annual_reports_txt\PTSN_2024_AR.txt","","","","","","","","","",""
"PTSN","2025","0",".\data\annual_reports\PTSN_2025_AR.pdf",".\output\annual_reports_txt\PTSN_2025_AR.txt","","","","","","","","","",""
"SKYB","2019","0",".\data\annual_reports\SKYB_2019_AR.pdf",".\output\annual_reports_txt\SKYB_2019_AR.txt","","","","","","","","","",""
"SKYB","2020","0",".\data\annual_reports\SKYB_2020_AR.pdf",".\output\annual_reports_txt\SKYB_2020_AR.txt","","","","","","","","","",""
"SKYB","2021","0",".\data\annual_reports\SKYB_2021_AR.pdf",".\output\annual_reports_txt\SKYB_2021_AR.txt","","","","","","","","","",""
"SKYB","2022","0",".\data\annual_reports\SKYB_2022_AR.pdf",".\output\annual_reports_txt\SKYB_2022_AR.txt","","","","","","","","","",""
"SKYB","2023","0",".\data\annual_reports\SKYB_2023_AR.pdf",".\output\annual_reports_txt\SKYB_2023_AR.txt","","","","","","","","","",""
"SKYB","2024","0",".\data\annual_reports\SKYB_2024_AR.pdf",".\output\annual_reports_txt\SKYB_2024_AR.txt","","","","","","","","","",""
"SKYB","2025","0",".\data\annual_reports\SKYB_2025_AR.pdf",".\output\annual_reports_txt\SKYB_2025_AR.txt","","","","","","","","","",""
"MLPT","2019","0",".\data\annual_reports\MLPT_2019_AR.pdf",".\output\annual_reports_txt\MLPT_2019_AR.txt","","","","","","","","","",""
"MLPT","2020","0",".\data\annual_reports\MLPT_2020_AR.pdf",".\output\annual_reports_txt\MLPT_2020_AR.txt","","","","","","","","","",""
"MLPT","2021","0",".\data\annual_reports\MLPT_2021_AR.pdf",".\output\annual_reports_txt\MLPT_2021_AR.txt","","","","","","","","","",""
"MLPT","2022","0",".\data\annual_reports\MLPT_2022_AR.pdf",".\output\annual_reports_txt\MLPT_2022_AR.txt","","","","","","","","","",""
"MLPT","2023","0",".\data\annual_reports\MLPT_2023_AR.pdf",".\output\annual_reports_txt\MLPT_2023_AR.txt","","","","","","","","","",""
"MLPT","2024","0",".\data\annual_reports\MLPT_2024_AR.pdf",".\output\annual_reports_txt\MLPT_2024_AR.txt","","","","","","","","","",""
"MLPT","2025","0",".\data\annual_reports\MLPT_2025_AR.pdf",".\output\annual_reports_txt\MLPT_2025_AR.txt","","","","","","","","","",""
"ATIC","2019","0",".\data\annual_reports\ATIC_2019_AR.pdf",".\output\annual_reports_txt\ATIC_2019_AR.txt","","","","","","","","","",""
"ATIC","2020","0",".\data\annual_reports\ATIC_2020_AR.pdf",".\output\annual_reports_txt\ATIC_2020_AR.txt","","","","","","","","","",""
"ATIC","2021","0",".\data\annual_reports\ATIC_2021_AR.pdf",".\output\annual_reports_txt\ATIC_2021_AR.txt","","","","","","","","","",""
"ATIC","2022","0",".\data\annual_reports\ATIC_2022_AR.pdf",".\output\annual_reports_txt\ATIC_2022_AR.txt","","","","","","","","","",""
"ATIC","2023","0",".\data\annual_reports\ATIC_2023_AR.pdf",".\output\annual_reports_txt\ATIC_2023_AR.txt","","","","","","","","","",""
"ATIC","2024","0",".\data\annual_reports\ATIC_2024_AR.pdf",".\output\annual_reports_txt\ATIC_2024_AR.txt","","","","","","","","","",""
"ATIC","2025","0",".\data\annual_reports\ATIC_2025_AR.pdf",".\output\annual_reports_txt\ATIC_2025_AR.txt","","","","","","","","","",""
"KIOS","2019","0",".\data\annual_reports\KIOS_2019_AR.pdf",".\output\annual_reports_txt\KIOS_2019_AR.txt","","","","","","","","","",""
"KIOS","2020","0",".\data\annual_reports\KIOS_2020_AR.pdf",".\output\annual_reports_txt\KIOS_2020_AR.txt","","","","","","","","","",""
"KIOS","2021","0",".\data\annual_reports\KIOS_2021_AR.pdf",".\output\annual_reports_txt\KIOS_2021_AR.txt","","","","","","","","","",""
"KIOS","2022","0",".\data\annual_reports\KIOS_2022_AR.pdf",".\output\annual_reports_txt\KIOS_2022_AR.txt","","","","","","","","","",""
"KIOS","2023","0",".\data\annual_reports\KIOS_2023_AR.pdf",".\output\annual_reports_txt\KIOS_2023_AR.txt","","","","","","","","","",""
"KIOS","2024","0",".\data\annual_reports\KIOS_2024_AR.pdf",".\output\annual_reports_txt\KIOS_2024_AR.txt","","","","","","","","","",""
"KIOS","2025","0",".\data\annual_reports\KIOS_2025_AR.pdf",".\output\annual_reports_txt\KIOS_2025_AR.txt","","","","","","","","","",""
"MCAS","2019","0",".\data\annual_reports\MCAS_2019_AR.pdf",".\output\annual_reports_txt\MCAS_2019_AR.txt","","","","","","","","","",""
"MCAS","2020","0",".\data\annual_reports\MCAS_2020_AR.pdf",".\output\annual_reports_txt\MCAS_2020_AR.txt","","","","","","","","","",""
"MCAS","2021","0",".\data\annual_reports\MCAS_2021_AR.pdf",".\output\annual_reports_txt\MCAS_2021_AR.txt","","","","","","","","","",""
"MCAS","2022","0",".\data\annual_reports\MCAS_2022_AR.pdf",".\output\annual_reports_txt\MCAS_2022_AR.txt","","","","","","","","","",""
"MCAS","2023","0",".\data\annual_reports\MCAS_2023_AR.pdf",".\output\annual_reports_txt\MCAS_2023_AR.txt","","","","","","","","","",""
"MCAS","2024","0",".\data\annual_reports\MCAS_2024_AR.pdf",".\output\annual_reports_txt\MCAS_2024_AR.txt","","","","","","","","","",""
"MCAS","2025","0",".\data\annual_reports\MCAS_2025_AR.pdf",".\output\annual_reports_txt\MCAS_2025_AR.txt","","","","","","","","","",""
"NFCX","2019","0",".\data\annual_reports\NFCX_2019_AR.pdf",".\output\annual_reports_txt\NFCX_2019_AR.txt","","","","","","","","","",""
"NFCX","2020","0",".\data\annual_reports\NFCX_2020_AR.pdf",".\output\annual_reports_txt\NFCX_2020_AR.txt","","","","","","","","","",""
"NFCX","2021","0",".\data\annual_reports\NFCX_2021_AR.pdf",".\output\annual_reports_txt\NFCX_2021_AR.txt","","","","","","","","","",""
"NFCX","2022","0",".\data\annual_reports\NFCX_2022_AR.pdf",".\output\annual_reports_txt\NFCX_2022_AR.txt","","","","","","","","","",""
"NFCX","2023","0",".\data\annual_reports\NFCX_2023_AR.pdf",".\output\annual_reports_txt\NFCX_2023_AR.txt","","","","","","","","","",""
"NFCX","2024","0",".\data\annual_reports\NFCX_2024_AR.pdf",".\output\annual_reports_txt\NFCX_2024_AR.txt","","","","","","","","","",""
"NFCX","2025","0",".\data\annual_reports\NFCX_2025_AR.pdf",".\output\annual_reports_txt\NFCX_2025_AR.txt","","","","","","","","","",""
"DIVA","2019","0",".\data\annual_reports\DIVA_2019_AR.pdf",".\output\annual_reports_txt\DIVA_2019_AR.txt","","","","","","","","","",""
"DIVA","2020","0",".\data\annual_reports\DIVA_2020_AR.pdf",".\output\annual_reports_txt\DIVA_2020_AR.txt","","","","","","","","","",""
"DIVA","2021","0",".\data\annual_reports\DIVA_2021_AR.pdf",".\output\annual_reports_txt\DIVA_2021_AR.txt","","","","","","","","","",""
"DIVA","2022","0",".\data\annual_reports\DIVA_2022_AR.pdf",".\output\annual_reports_txt\DIVA_2022_AR.txt","","","","","","","","","",""
"DIVA","2023","0",".\data\annual_reports\DIVA_2023_AR.pdf",".\output\annual_reports_txt\DIVA_2023_AR.txt","","","","","","","","","",""
"DIVA","2024","0",".\data\annual_reports\DIVA_2024_AR.pdf",".\output\annual_reports_txt\DIVA_2024_AR.txt","","","","","","","","","",""
"DIVA","2025","0",".\data\annual_reports\DIVA_2025_AR.pdf",".\output\annual_reports_txt\DIVA_2025_AR.txt","","","","","","","","","",""
"LUCK","2019","0",".\data\annual_reports\LUCK_2019_AR.pdf",".\output\annual_reports_txt\LUCK_2019_AR.txt","","","","","","","","","",""
"LUCK","2020","0",".\data\annual_reports\LUCK_2020_AR.pdf",".\output\annual_reports_txt\LUCK_2020_AR.txt","","","","","","","","","",""
"LUCK","2021","0",".\data\annual_reports\LUCK_2021_AR.pdf",".\output\annual_reports_txt\LUCK_2021_AR.txt","","","","","","","","","",""
"LUCK","2022","0",".\data\annual_reports\LUCK_2022_AR.pdf",".\output\annual_reports_txt\LUCK_2022_AR.txt","","","","","","","","","",""
"LUCK","2023","0",".\data\annual_reports\LUCK_2023_AR.pdf",".\output\annual_reports_txt\LUCK_2023_AR.txt","","","","","","","","","",""
"LUCK","2024","0",".\data\annual_reports\LUCK_2024_AR.pdf",".\output\annual_reports_txt\LUCK_2024_AR.txt","","","","","","","","","",""
"LUCK","2025","0",".\data\annual_reports\LUCK_2025_AR.pdf",".\output\annual_reports_txt\LUCK_2025_AR.txt","","","","","","","","","",""
"ISAT","2019","0",".\data\annual_reports\ISAT_2019_AR.pdf",".\output\annual_reports_txt\ISAT_2019_AR.txt","","","","","","","","","",""
"ISAT","2020","0",".\data\annual_reports\ISAT_2020_AR.pdf",".\output\annual_reports_txt\ISAT_2020_AR.txt","","","","","","","","","",""
"ISAT","2021","0",".\data\annual_reports\ISAT_2021_AR.pdf",".\output\annual_reports_txt\ISAT_2021_AR.txt","","","","","","","","","",""
"ISAT","2022","0",".\data\annual_reports\ISAT_2022_AR.pdf",".\output\annual_reports_txt\ISAT_2022_AR.txt","","","","","","","","","",""
"ISAT","2023","0",".\data\annual_reports\ISAT_2023_AR.pdf",".\output\annual_reports_txt\ISAT_2023_AR.txt","","","","","","","","","",""
"ISAT","2024","0",".\data\annual_reports\ISAT_2024_AR.pdf",".\output\annual_reports_txt\ISAT_2024_AR.txt","","","","","","","","","",""
"ISAT","2025","0",".\data\annual_reports\ISAT_2025_AR.pdf",".\output\annual_reports_txt\ISAT_2025_AR.txt","","","","","","","","","",""
"TLKM","2019","0",".\data\annual_reports\TLKM_2019_AR.pdf",".\output\annual_reports_txt\TLKM_2019_AR.txt","","","","","","","","","",""
"TLKM","2020","0",".\data\annual_reports\TLKM_2020_AR.pdf",".\output\annual_reports_txt\TLKM_2020_AR.txt","","","","","","","","","",""
"TLKM","2021","0",".\data\annual_reports\TLKM_2021_AR.pdf",".\output\annual_reports_txt\TLKM_2021_AR.txt","","","","","","","","","",""
"TLKM","2022","0",".\data\annual_reports\TLKM_2022_AR.pdf",".\output\annual_reports_txt\TLKM_2022_AR.txt","","","","","","","","","",""
"TLKM","2023","0",".\data\annual_reports\TLKM_2023_AR.pdf",".\output\annual_reports_txt\TLKM_2023_AR.txt","","","","","","","","","",""
"TLKM","2024","0",".\data\annual_reports\TLKM_2024_AR.pdf",".\output\annual_reports_txt\TLKM_2024_AR.txt","","","","","","","","","",""
"TLKM","2025","0",".\data\annual_reports\TLKM_2025_AR.pdf",".\output\annual_reports_txt\TLKM_2025_AR.txt","","","","","","","","","",""
"KBLV","2019","0",".\data\annual_reports\KBLV_2019_AR.pdf",".\output\annual_reports_txt\KBLV_2019_AR.txt","","","","","","","","","",""
"KBLV","2020","0",".\data\annual_reports\KBLV_2020_AR.pdf",".\output\annual_reports_txt\KBLV_2020_AR.txt","","","","","","","","","",""
"KBLV","2021","0",".\data\annual_reports\KBLV_2021_AR.pdf",".\output\annual_reports_txt\KBLV_2021_AR.txt","","","","","","","","","",""
"KBLV","2022","0",".\data\annual_reports\KBLV_2022_AR.pdf",".\output\annual_reports_txt\KBLV_2022_AR.txt","","","","","","","","","",""
"KBLV","2023","0",".\data\annual_reports\KBLV_2023_AR.pdf",".\output\annual_reports_txt\KBLV_2023_AR.txt","","","","","","","","","",""
"KBLV","2024","0",".\data\annual_reports\KBLV_2024_AR.pdf",".\output\annual_reports_txt\KBLV_2024_AR.txt","","","","","","","","","",""
"KBLV","2025","0",".\data\annual_reports\KBLV_2025_AR.pdf",".\output\annual_reports_txt\KBLV_2025_AR.txt","","","","","","","","","",""
"CENT","2019","0",".\data\annual_reports\CENT_2019_AR.pdf",".\output\annual_reports_txt\CENT_2019_AR.txt","","","","","","","","","",""
"CENT","2020","0",".\data\annual_reports\CENT_2020_AR.pdf",".\output\annual_reports_txt\CENT_2020_AR.txt","","","","","","","","","",""
"CENT","2021","0",".\data\annual_reports\CENT_2021_AR.pdf",".\output\annual_reports_txt\CENT_2021_AR.txt","","","","","","","","","",""
"CENT","2022","0",".\data\annual_reports\CENT_2022_AR.pdf",".\output\annual_reports_txt\CENT_2022_AR.txt","","","","","","","","","",""
"CENT","2023","0",".\data\annual_reports\CENT_2023_AR.pdf",".\output\annual_reports_txt\CENT_2023_AR.txt","","","","","","","","","",""
"CENT","2024","0",".\data\annual_reports\CENT_2024_AR.pdf",".\output\annual_reports_txt\CENT_2024_AR.txt","","","","","","","","","",""
"CENT","2025","0",".\data\annual_reports\CENT_2025_AR.pdf",".\output\annual_reports_txt\CENT_2025_AR.txt","","","","","","","","","",""
"EXCL","2019","0",".\data\annual_reports\EXCL_2019_AR.pdf",".\output\annual_reports_txt\EXCL_2019_AR.txt","","","","","","","","","",""
"EXCL","2020","0",".\data\annual_reports\EXCL_2020_AR.pdf",".\output\annual_reports_txt\EXCL_2020_AR.txt","","","","","","","","","",""
"EXCL","2021","0",".\data\annual_reports\EXCL_2021_AR.pdf",".\output\annual_reports_txt\EXCL_2021_AR.txt","","","","","","","","","",""
"EXCL","2022","0",".\data\annual_reports\EXCL_2022_AR.pdf",".\output\annual_reports_txt\EXCL_2022_AR.txt","","","","","","","","","",""
"EXCL","2023","0",".\data\annual_reports\EXCL_2023_AR.pdf",".\output\annual_reports_txt\EXCL_2023_AR.txt","","","","","","","","","",""
"EXCL","2024","0",".\data\annual_reports\EXCL_2024_AR.pdf",".\output\annual_reports_txt\EXCL_2024_AR.txt","","","","","","","","","",""
"EXCL","2025","0",".\data\annual_reports\EXCL_2025_AR.pdf",".\output\annual_reports_txt\EXCL_2025_AR.txt","","","","","","","","","",""
"BTEL","2019","0",".\data\annual_reports\BTEL_2019_AR.pdf",".\output\annual_reports_txt\BTEL_2019_AR.txt","","","","","","","","","",""
"BTEL","2020","0",".\data\annual_reports\BTEL_2020_AR.pdf",".\output\annual_reports_txt\BTEL_2020_AR.txt","","","","","","","","","",""
"BTEL","2021","0",".\data\annual_reports\BTEL_2021_AR.pdf",".\output\annual_reports_txt\BTEL_2021_AR.txt","","","","","","","","","",""
"BTEL","2022","0",".\data\annual_reports\BTEL_2022_AR.pdf",".\output\annual_reports_txt\BTEL_2022_AR.txt","","","","","","","","","",""
"BTEL","2023","0",".\data\annual_reports\BTEL_2023_AR.pdf",".\output\annual_reports_txt\BTEL_2023_AR.txt","","","","","","","","","",""
"BTEL","2024","0",".\data\annual_reports\BTEL_2024_AR.pdf",".\output\annual_reports_txt\BTEL_2024_AR.txt","","","","","","","","","",""
"BTEL","2025","0",".\data\annual_reports\BTEL_2025_AR.pdf",".\output\annual_reports_txt\BTEL_2025_AR.txt","","","","","","","","","",""
"TOWR","2019","0",".\data\annual_reports\TOWR_2019_AR.pdf",".\output\annual_reports_txt\TOWR_2019_AR.txt","","","","","","","","","",""
"TOWR","2020","0",".\data\annual_reports\TOWR_2020_AR.pdf",".\output\annual_reports_txt\TOWR_2020_AR.txt","","","","","","","","","",""
"TOWR","2021","0",".\data\annual_reports\TOWR_2021_AR.pdf",".\output\annual_reports_txt\TOWR_2021_AR.txt","","","","","","","","","",""
"TOWR","2022","0",".\data\annual_reports\TOWR_2022_AR.pdf",".\output\annual_reports_txt\TOWR_2022_AR.txt","","","","","","","","","",""
"TOWR","2023","0",".\data\annual_reports\TOWR_2023_AR.pdf",".\output\annual_reports_txt\TOWR_2023_AR.txt","","","","","","","","","",""
"TOWR","2024","0",".\data\annual_reports\TOWR_2024_AR.pdf",".\output\annual_reports_txt\TOWR_2024_AR.txt","","","","","","","","","",""
"TOWR","2025","0",".\data\annual_reports\TOWR_2025_AR.pdf",".\output\annual_reports_txt\TOWR_2025_AR.txt","","","","","","","","","",""
"TBIG","2019","0",".\data\annual_reports\TBIG_2019_AR.pdf",".\output\annual_reports_txt\TBIG_2019_AR.txt","","","","","","","","","",""
"TBIG","2020","0",".\data\annual_reports\TBIG_2020_AR.pdf",".\output\annual_reports_txt\TBIG_2020_AR.txt","","","","","","","","","",""
"TBIG","2021","0",".\data\annual_reports\TBIG_2021_AR.pdf",".\output\annual_reports_txt\TBIG_2021_AR.txt","","","","","","","","","",""
"TBIG","2022","0",".\data\annual_reports\TBIG_2022_AR.pdf",".\output\annual_reports_txt\TBIG_2022_AR.txt","","","","","","","","","",""
"TBIG","2023","0",".\data\annual_reports\TBIG_2023_AR.pdf",".\output\annual_reports_txt\TBIG_2023_AR.txt","","","","","","","","","",""
"TBIG","2024","0",".\data\annual_reports\TBIG_2024_AR.pdf",".\output\annual_reports_txt\TBIG_2024_AR.txt","","","","","","","","","",""
"TBIG","2025","0",".\data\annual_reports\TBIG_2025_AR.pdf",".\output\annual_reports_txt\TBIG_2025_AR.txt","","","","","","","","","",""
"SUPR","2019","0",".\data\annual_reports\SUPR_2019_AR.pdf",".\output\annual_reports_txt\SUPR_2019_AR.txt","","","","","","","","","",""
"SUPR","2020","0",".\data\annual_reports\SUPR_2020_AR.pdf",".\output\annual_reports_txt\SUPR_2020_AR.txt","","","","","","","","","",""
"SUPR","2021","0",".\data\annual_reports\SUPR_2021_AR.pdf",".\output\annual_reports_txt\SUPR_2021_AR.txt","","","","","","","","","",""
"SUPR","2022","0",".\data\annual_reports\SUPR_2022_AR.pdf",".\output\annual_reports_txt\SUPR_2022_AR.txt","","","","","","","","","",""
"SUPR","2023","0",".\data\annual_reports\SUPR_2023_AR.pdf",".\output\annual_reports_txt\SUPR_2023_AR.txt","","","","","","","","","",""
"SUPR","2024","0",".\data\annual_reports\SUPR_2024_AR.pdf",".\output\annual_reports_txt\SUPR_2024_AR.txt","","","","","","","","","",""
"SUPR","2025","0",".\data\annual_reports\SUPR_2025_AR.pdf",".\output\annual_reports_txt\SUPR_2025_AR.txt","","","","","","","","","",""
"IBST","2019","0",".\data\annual_reports\IBST_2019_AR.pdf",".\output\annual_reports_txt\IBST_2019_AR.txt","","","","","","","","","",""
"IBST","2020","0",".\data\annual_reports\IBST_2020_AR.pdf",".\output\annual_reports_txt\IBST_2020_AR.txt","","","","","","","","","",""
"IBST","2021","0",".\data\annual_reports\IBST_2021_AR.pdf",".\output\annual_reports_txt\IBST_2021_AR.txt","","","","","","","","","",""
"IBST","2022","0",".\data\annual_reports\IBST_2022_AR.pdf",".\output\annual_reports_txt\IBST_2022_AR.txt","","","","","","","","","",""
"IBST","2023","0",".\data\annual_reports\IBST_2023_AR.pdf",".\output\annual_reports_txt\IBST_2023_AR.txt","","","","","","","","","",""
"IBST","2024","0",".\data\annual_reports\IBST_2024_AR.pdf",".\output\annual_reports_txt\IBST_2024_AR.txt","","","","","","","","","",""
"IBST","2025","0",".\data\annual_reports\IBST_2025_AR.pdf",".\output\annual_reports_txt\IBST_2025_AR.txt","","","","","","","","","",""
"BALI","2019","0",".\data\annual_reports\BALI_2019_AR.pdf",".\output\annual_reports_txt\BALI_2019_AR.txt","","","","","","","","","",""
"BALI","2020","0",".\data\annual_reports\BALI_2020_AR.pdf",".\output\annual_reports_txt\BALI_2020_AR.txt","","","","","","","","","",""
"BALI","2021","0",".\data\annual_reports\BALI_2021_AR.pdf",".\output\annual_reports_txt\BALI_2021_AR.txt","","","","","","","","","",""
"BALI","2022","0",".\data\annual_reports\BALI_2022_AR.pdf",".\output\annual_reports_txt\BALI_2022_AR.txt","","","","","","","","","",""
"BALI","2023","0",".\data\annual_reports\BALI_2023_AR.pdf",".\output\annual_reports_txt\BALI_2023_AR.txt","","","","","","","","","",""
"BALI","2024","0",".\data\annual_reports\BALI_2024_AR.pdf",".\output\annual_reports_txt\BALI_2024_AR.txt","","","","","","","","","",""
"BALI","2025","0",".\data\annual_reports\BALI_2025_AR.pdf",".\output\annual_reports_txt\BALI_2025_AR.txt","","","","","","","","","",""
"LINK","2019","0",".\data\annual_reports\LINK_2019_AR.pdf",".\output\annual_reports_txt\LINK_2019_AR.txt","","","","","","","","","",""
"LINK","2020","0",".\data\annual_reports\LINK_2020_AR.pdf",".\output\annual_reports_txt\LINK_2020_AR.txt","","","","","","","","","",""
"LINK","2021","0",".\data\annual_reports\LINK_2021_AR.pdf",".\output\annual_reports_txt\LINK_2021_AR.txt","","","","","","","","","",""
"LINK","2022","0",".\data\annual_reports\LINK_2022_AR.pdf",".\output\annual_reports_txt\LINK_2022_AR.txt","","","","","","","","","",""
"LINK","2023","0",".\data\annual_reports\LINK_2023_AR.pdf",".\output\annual_reports_txt\LINK_2023_AR.txt","","","","","","","","","",""
"LINK","2024","0",".\data\annual_reports\LINK_2024_AR.pdf",".\output\annual_reports_txt\LINK_2024_AR.txt","","","","","","","","","",""
"LINK","2025","0",".\data\annual_reports\LINK_2025_AR.pdf",".\output\annual_reports_txt\LINK_2025_AR.txt","","","","","","","","","",""
"OASA","2019","0",".\data\annual_reports\OASA_2019_AR.pdf",".\output\annual_reports_txt\OASA_2019_AR.txt","","","","","","","","","",""
"OASA","2020","0",".\data\annual_reports\OASA_2020_AR.pdf",".\output\annual_reports_txt\OASA_2020_AR.txt","","","","","","","","","",""
"OASA","2021","0",".\data\annual_reports\OASA_2021_AR.pdf",".\output\annual_reports_txt\OASA_2021_AR.txt","","","","","","","","","",""
"OASA","2022","0",".\data\annual_reports\OASA_2022_AR.pdf",".\output\annual_reports_txt\OASA_2022_AR.txt","","","","","","","","","",""
"OASA","2023","0",".\data\annual_reports\OASA_2023_AR.pdf",".\output\annual_reports_txt\OASA_2023_AR.txt","","","","","","","","","",""
"OASA","2024","0",".\data\annual_reports\OASA_2024_AR.pdf",".\output\annual_reports_txt\OASA_2024_AR.txt","","","","","","","","","",""
"OASA","2025","0",".\data\annual_reports\OASA_2025_AR.pdf",".\output\annual_reports_txt\OASA_2025_AR.txt","","","","","","","","","",""
"LCKM","2019","0",".\data\annual_reports\LCKM_2019_AR.pdf",".\output\annual_reports_txt\LCKM_2019_AR.txt","","","","","","","","","",""
"LCKM","2020","0",".\data\annual_reports\LCKM_2020_AR.pdf",".\output\annual_reports_txt\LCKM_2020_AR.txt","","","","","","","","","",""
"LCKM","2021","0",".\data\annual_reports\LCKM_2021_AR.pdf",".\output\annual_reports_txt\LCKM_2021_AR.txt","","","","","","","","","",""
"LCKM","2022","0",".\data\annual_reports\LCKM_2022_AR.pdf",".\output\annual_reports_txt\LCKM_2022_AR.txt","","","","","","","","","",""
"LCKM","2023","0",".\data\annual_reports\LCKM_2023_AR.pdf",".\output\annual_reports_txt\LCKM_2023_AR.txt","","","","","","","","","",""
"LCKM","2024","0",".\data\annual_reports\LCKM_2024_AR.pdf",".\output\annual_reports_txt\LCKM_2024_AR.txt","","","","","","","","","",""
"LCKM","2025","0",".\data\annual_reports\LCKM_2025_AR.pdf",".\output\annual_reports_txt\LCKM_2025_AR.txt","","","","","","","","","",""
"GHON","2019","0",".\data\annual_reports\GHON_2019_AR.pdf",".\output\annual_reports_txt\GHON_2019_AR.txt","","","","","","","","","",""
"GHON","2020","0",".\data\annual_reports\GHON_2020_AR.pdf",".\output\annual_reports_txt\GHON_2020_AR.txt","","","","","","","","","",""
"GHON","2021","0",".\data\annual_reports\GHON_2021_AR.pdf",".\output\annual_reports_txt\GHON_2021_AR.txt","","","","","","","","","",""
"GHON","2022","0",".\data\annual_reports\GHON_2022_AR.pdf",".\output\annual_reports_txt\GHON_2022_AR.txt","","","","","","","","","",""
"GHON","2023","0",".\data\annual_reports\GHON_2023_AR.pdf",".\output\annual_reports_txt\GHON_2023_AR.txt","","","","","","","","","",""
"GHON","2024","0",".\data\annual_reports\GHON_2024_AR.pdf",".\output\annual_reports_txt\GHON_2024_AR.txt","","","","","","","","","",""
"GHON","2025","0",".\data\annual_reports\GHON_2025_AR.pdf",".\output\annual_reports_txt\GHON_2025_AR.txt","","","","","","","","","",""
